timestamp,frame,L_knee,R_knee,L_hip,R_hip
2026-05-25T19:48:26.737,217,175.15,171.56,175.98,164.96
2026-05-25T19:48:26.844,218,175.13,171.67,176.77,165.39
2026-05-25T19:48:26.951,219,174.65,173.93,175.8,166.61
2026-05-25T19:48:27.045,220,175.07,174.09,176.09,166.82
2026-05-25T19:48:27.134,221,174.86,173.37,175.9,166.45
2026-05-25T19:48:27.230,222,176.34,176.36,177.59,169.03
2026-05-25T19:48:27.334,223,176.43,177.53,177.46,169.79
2026-05-25T19:48:27.430,224,177.36,178.36,177.73,170.07
2026-05-25T19:48:27.543,225,178.58,177.35,178.95,169.5
2026-05-25T19:48:27.635,226,178.11,174.78,178.19,168.2
2026-05-25T19:48:27.737,227,177.95,176.8,177.2,168.73
2026-05-25T19:48:27.831,228,177.93,177.99,177.52,169.39
2026-05-25T19:48:27.921,229,177.68,175.21,177.05,167.83
2026-05-25T19:48:28.022,230,177.96,176.73,177.94,169.17
2026-05-25T19:48:28.127,231,178.53,178.8,178.5,170.3
2026-05-25T19:48:28.223,232,179.03,179.99,179.16,171.33
2026-05-25T19:48:28.323,233,179.93,179.38,179.2,171.57
2026-05-25T19:48:28.430,234,179.78,178.58,178.82,172.15
2026-05-25T19:48:28.531,235,178.92,178.4,178.99,172.22
2026-05-25T19:48:28.647,236,178.27,179.04,178.4,171.85
2026-05-25T19:48:28.843,237,177.98,177.63,178.12,170.13
2026-05-25T19:48:28.938,238,176.53,174.49,177.43,168.42
2026-05-25T19:48:29.051,239,174.18,171.39,175.91,166.72
2026-05-25T19:48:29.152,240,174.66,171.75,176.83,166.98
2026-05-25T19:48:29.265,241,176.28,174.08,178.18,168.42
2026-05-25T19:48:29.371,242,175.29,168.2,177.34,165.25
2026-05-25T19:48:29.539,243,174.77,169.63,177.21,166.35
2026-05-25T19:48:29.803,244,175.94,173.37,177.93,168.33
2026-05-25T19:48:29.902,245,176.93,176.07,176.15,168.09
2026-05-25T19:48:30.022,246,176.49,174.14,175.66,167.72
2026-05-25T19:48:30.134,247,176.16,172.6,175.45,166.77
